title,level,parent,0,1,2,3,4,5,6,7
Philosophy,0,Philosophy,-0.11188052102748162,-0.027211255249183837,0.07732918251020021,0.06785243290271499,0.04513855469535156,0.1390387976210873,-0.00731697792486026,0.18973994247595075
Iran,1,Philosophy,0.3721173295320694,0.16015864824130127,0.004507185143022122,-0.16500250924820486,0.19144622141825404,0.059456817566221856,0.07642183391786897,0.07291198519303466
Falcon,2,Iran,-0.14127281420945736,-0.08425267906473621,-0.06268976041982059,0.02691284038338663,-0.008528441075328795,-0.03711624218271812,-0.07890249619841766,-0.01630524109132815
Panthera,2,Iran,-0.13996214286773673,-0.07917486710623141,-0.08949473714262132,-0.00036408076466241615,-0.00741752412020853,-0.05253787805941755,-0.08404156222840599,-0.01880497417620026
List of newspapers in Iran,2,Iran,0.22472138497260996,0.00387801598914212,-0.1949778689599573,0.08492445877649048,0.023060015642900764,-0.04410430495389874,0.0038371575815520104,-0.0018659106664508914
Shikand-gumanic Vichar,2,Iran,-0.08775237688826541,0.0011670457032168082,-0.017628008596751364,0.07535702536859533,-0.013528452795526325,0.08758755800573974,-0.026758604599179798,-0.0075346668406023045
Mesopotamia,2,Iran,-0.14852581650749666,0.11252227484003105,0.042902895027655735,-0.058072624492615035,0.09424615536991848,0.11511230564347327,0.16282365423543438,0.014095403714293684
Basij,2,Iran,0.16868847505785198,-0.07352789749130133,-0.00904778083104025,0.051254841865291445,-0.028204070829576957,0.04791978759931344,-0.04580285324442588,-0.08744567603605223
World War II,2,Iran,0.02088859029763732,-0.010675050089747604,0.3588569841632162,-0.1888340040706161,-0.08094361864549708,-0.059217479097200584,0.002692495071707668,-0.22056470105092654
Regions of Iran,2,Iran,0.0969883047311025,-0.04891077521565372,-0.10255837495875285,-0.013030683798607199,0.03098020058820701,-0.03346589733743653,0.006883151525588542,-0.025441549096133158
Iranian rock,2,Iran,0.14960598917791168,-0.10255918258117538,-0.12881134317311851,0.011089899993518452,0.04956123821233413,0.019316303006263368,0.025725193549931438,0.031104004677622508
Virtual private network,2,Iran,-0.11594704776439059,-0.14812044672485267,-0.01351366811668353,0.03797941675331754,-0.06897718520210917,-0.028822341246232806,0.008346032331850503,0.04814592925949375
Downpour (film),2,Iran,-0.034783229880198024,-0.07349665379874447,-0.10061832378887829,0.04490557388791872,-0.04550557557629262,0.021089130383514534,-0.020077640362459646,-0.007009600640199066
Iranian Plateau,2,Iran,0.002339849004516731,0.06739659141204286,-0.12464434131812195,-0.11530092831513988,0.17305052053354397,-0.12665032954565633,0.0041949631451665146,-0.04479164412642992
Chogha Mish,2,Iran,-0.07406190806300024,-0.010628357182778797,-0.1251522993753389,-0.012318886729522631,0.03944427145644002,0.04648824035797679,0.04691118042400604,-0.037126150256510046
Aryan,2,Iran,-0.04202384461646001,0.06714603179726844,-0.07397528664744558,-0.06255914016325029,0.2353020447043078,0.2614861782549461,-0.17394874668662336,0.007232754863831137
Universal suffrage,2,Iran,-0.004282217666321887,-0.09499434631823832,0.17080170785948348,-0.02159344511225844,-0.06685036894524209,0.11673213920957913,-0.1263749311757387,-0.025373482073961177
Submarine,2,Iran,-0.09835972175670964,-0.12777335812967733,0.10807692882675496,-0.03441576051705574,-0.023129985884895114,-0.10145185261400272,0.07917748191448218,-0.038892639847863855
Sasanian art,2,Iran,-0.08828885841973928,0.12020712471942983,-0.03736557952516337,-0.07028290237627255,0.014963694557129056,0.13543493681550134,0.2976670059846934,0.0925914079374267
Franklin D. Roosevelt,2,Iran,0.013590421447304562,-0.0937276463767892,0.2844668429382392,-0.06163185637919929,-0.0954478869168936,0.04336165368339939,0.028297429543144327,-0.0718007359262292
Sasanian Empire,2,Iran,-0.015847627216910118,0.33214039235705534,0.10982992500676601,-0.06942605562510484,0.04334836203836286,0.10682039973622333,0.17431413081766595,-0.03504898434019547
Turkey,2,Iran,5.275799088977246e-05,0.0883132859743174,0.23806322634009808,-0.18774278355218024,0.09382426185716967,-0.011834130265475917,-0.03381867909402748,0.07319284487366946
Badab-e Surt,2,Iran,-0.08506387646501322,-0.061165637518473086,-0.12584441355711018,0.003545057786006731,-0.011469762621676876,-0.10089695728135248,-0.012999817555962362,-0.03251929875281255
